id,origin_id,neighbor_1_id,neighbor_2_id,origin_x,origin_y,neighbor_1_x,neighbor_1_y,neighbor_2_x,neighbor_2_y,theta,radius,centerx,centery,nn_id
3816,12339231456,12339231466,12339274766,-21.95798,64.1339754,-21.9577575,64.1341788,-21.9580545,64.1340108,112.15221668586798,0.00475207263532632,-21.957132685430018,64.12831151910856,"('way', 810779391)"
3817,12339231456,12339231495,12339274766,-21.95798,64.1339754,-21.9581813,64.1338324,-21.9580545,64.1340108,60.80488158959124,0.006352777851629136,-21.945474370537177,64.1350666152157,"('way', 706072826)"
3818,12339231460,12339231459,12339231509,-21.9582836,64.1339284,-21.9582156,64.1339509,-21.9583383,64.1338627,148.0882961701464,0.20768663862031425,-21.836668255946876,63.95540827024726,"('way', 1322089155)"
3819,12339231465,12339231464,12339231513,-21.9552632,64.133332,-21.9571308,64.1337785,-21.9552359,64.1333705,111.89439384255792,0.04547168640941585,-21.935946751616534,64.0819607244148,"('way', 363238968)"
3820,12339231465,12339231470,12339231513,-21.9552632,64.133332,-21.9545222,64.1331401,-21.9552359,64.1333705,69.1790516103566,0.012164411651525228,-21.975389719778253,64.12597854062514,"('way', 105908811)"
3821,12339231469,12339231470,12339231477,-21.9537643,64.1329955,-21.9545222,64.1331401,-21.9537351,64.1330479,108.327155170354,0.040588836307162104,-21.932577586416723,64.08763231021068,"('way', 105908742)"
3822,12339231469,12339231471,12339231477,-21.9537643,64.1329955,-21.9530904,64.1328758,-21.9537351,64.1330479,70.94316842655138,0.01324806073642974,-21.97438725210784,64.12320318128128,"('way', 105908845)"
3823,12339231476,12339231475,12339231481,-21.9522051,64.1327402,-21.9525684,64.1327948,-21.9521576,64.1327935,123.15989016038924,0.04806995010429882,-21.93362507160526,64.08133803408327,"('way', 105908796)"
3824,12339231476,12339231479,12339231481,-21.9522051,64.1327402,-21.9509284,64.1325707,-21.9521576,64.1327935,55.855749078184,0.008219009294938314,-21.968656694932278,64.12663325380716,"('way', 139129310)"
3825,12339231478,12339231477,12339231741,-21.9533232,64.1337264,-21.9537351,64.1330479,-21.9527117,64.1337339,121.9635599892968,0.06276430319616028,-21.988907240511313,64.19605898829046,"('way', 105908881)"
3826,12339231486,12339231485,12339231718,-21.9496807,64.1323176,-21.9496164,64.1323688,-21.9484596,64.1320204,52.2082595486192,0.004456035121577108,-21.95957076552512,64.13013859635855,"('way', 87846627)"
3827,12339231487,12339231488,12339231738,-21.9578577,64.1317009,-21.9576524,64.1316265,-21.9579209,64.1316684,132.86559815069563,0.007175641715442772,-21.958355652861044,64.13951365986624,"('way', 101371798)"
3828,12339231490,12339231489,12339264103,-21.957226,64.1315007,-21.9574413,64.1315597,-21.9572427,64.1314686,77.83923047709281,0.015573475525045202,-21.934508937624074,64.14142304486914,"('way', 101371798)"
3829,12339231490,12339264099,12339264103,-21.957226,64.1315007,-21.9567382,64.1313757,-21.9572427,64.1314686,103.1127540417046,0.02533335915424356,-21.970418402666933,64.16103318464314,"('way', 101530979)"
3830,12339231491,12339231492,12339231512,-21.9585533,64.1334865,-21.9584204,64.1335858,-21.9585286,64.1336064,41.59333577391559,0.004564087189565482,-21.965448197213153,64.12263739092509,"('way', 810779391)"
3831,12339231491,12339231496,12339231512,-21.9585533,64.1334865,-21.9586,64.1334164,-21.9585286,64.1336064,157.96917385706652,0.3225856470886886,-22.261834525417612,64.26007690101503,"('way', 363238968)"
3832,12339231508,12339231507,12339231559,-21.9580251,64.1317762,-21.9581992,64.131884,-21.9580551,64.13172,93.67149571191696,0.024949873249708755,-21.92499535351557,64.1406701318034,"('way', 101371799)"
3833,12339231512,12339231491,12339231511,-21.9585286,64.1336064,-21.9585533,64.1334865,-21.958473,64.133696,159.81929650554463,0.3988016291668828,-22.33480909537945,64.2835803983771,"('way', 363238968)"
3834,12339231516,12339231515,12339231517,-21.9545666,64.1345255,-21.9545704,64.1345117,-21.9545723,64.1345393,142.16169737442843,0.16437546268470649,-21.78113245145337,64.14520489932829,"('way', 92987035)"
3835,12339231517,12339231516,12339231518,-21.9545723,64.1345393,-21.9545666,64.1345255,-21.9545871,64.1345516,152.17208258609477,0.005584379562945414,-21.949939014932617,64.13794985210296,"('way', 92987035)"
3836,12339231531,12339231530,12339231532,-21.9905134,64.0492622,-21.990447,64.0493304,-21.990552,64.0491737,159.33098553760027,inf,inf,inf,None
3837,12339231532,12339231531,12339231533,-21.990552,64.0491737,-21.9905134,64.0492622,-21.9905573,64.0490816,159.72870168919223,inf,inf,inf,None
3838,12339231533,12339231532,12339231534,-21.9905573,64.0490816,-21.990552,64.0491737,-21.9905183,64.0489878,154.13000230786008,inf,inf,inf,None
3839,12339231534,12339231533,12339231535,-21.9905183,64.0489878,-21.9905573,64.0490816,-21.990289,64.0487475,158.91834066916752,inf,inf,inf,None
3840,12339231538,12339231537,12339231539,-21.9882063,64.0503549,-21.9881679,64.0502665,-21.988204,64.0504515,155.15646948268358,inf,inf,inf,None
3841,12339231539,12339231538,12339231540,-21.988204,64.0504515,-21.9882063,64.0503549,-21.9880813,64.0506455,149.05162920936348,inf,inf,inf,None
3842,12339231542,12339231541,12339274112,-21.9878609,64.0509973,-21.9879236,64.0508948,-21.9882832,64.051065,67.653307581469,inf,inf,inf,None
3843,12339231542,12339231541,12339233043,-21.9878609,64.0509973,-21.9879236,64.0508948,-21.987643,64.0509732,115.14310034109124,inf,inf,inf,None
3844,12339231542,12339274110,12339274112,-21.9878609,64.0509973,-21.9878281,64.0510706,-21.9882832,64.051065,104.99963800360064,inf,inf,inf,None
3845,12339231542,12339274110,12339233043,-21.9878609,64.0509973,-21.9878281,64.0510706,-21.987643,64.0509732,72.20395407383911,inf,inf,inf,None
3846,12339231558,12339231557,12339274341,-21.9864833,64.0468402,-21.9868488,64.0467835,-21.9863632,64.0466889,119.62409128326104,inf,inf,inf,None
3847,12339231563,12339231562,12339231736,-21.9580711,64.1315218,-21.958083,64.1315819,-21.9580186,64.1315966,46.263818303888186,inf,inf,inf,None
3848,12339231568,12339231569,12339231580,-21.9541413,64.1300811,-21.9540782,64.1299169,-21.9542565,64.1300729,106.94966307096492,0.033683172590650734,-21.931648654734992,64.16545053454804,"('way', 101552919)"
3849,12339231568,12339231572,12339231580,-21.9541413,64.1300811,-21.9541947,64.1302345,-21.9542565,64.1300729,74.8779849172259,0.013558429089847343,-21.93551463236676,64.11781422280453,"('way', 101530980)"
3850,12339231571,12339231570,12339231583,-21.9539125,64.1295378,-21.9539566,64.1296003,-21.9538205,64.1294746,159.69416681386184,0.5399500346961502,-22.339345896110256,63.7392341588851,"('way', 104863497)"
3851,12339231571,12339231570,12339231594,-21.9539125,64.1295378,-21.9539566,64.1296003,-21.9539928,64.1295195,67.63139132179018,0.010006595919897854,-21.93712367904514,64.1231007352619,"('way', 101978712)"
3852,12339231571,12339231583,12339231594,-21.9539125,64.1295378,-21.9538205,64.1294746,-21.9539928,64.1295195,132.67444186434793,0.0846014224092147,-21.936565641597795,64.22026162661881,"('way', 678120359)"
3853,12339231576,12339231575,12339231577,-21.9542036,64.1304631,-21.9542245,64.1303892,-21.9541475,64.1305396,159.53784064916664,0.5124977987191501,-21.486221712911554,63.90198293575119,"('way', 101530977)"
